id,product,visual,source_url,source_date,accessed_date,local_file,notes
PW-01,Playwright,UI Mode run and test tree,https://playwright.dev/docs/test-ui-mode,"Current docs; no per-page update date",2026-07-17,references/playwright-ui-run.png,Official asset
PW-02,Playwright,UI Mode filters,https://playwright.dev/docs/test-ui-mode,"Current docs; no per-page update date",2026-07-17,references/playwright-ui-filters.png,Official asset
PW-03,Playwright,UI Mode timeline and network,https://playwright.dev/docs/test-ui-mode,"Current docs; no per-page update date",2026-07-17,references/playwright-ui-timeline-network.png,Official asset
PW-04,Playwright,Trace Viewer,https://playwright.dev/docs/trace-viewer,"Current docs; no per-page update date",2026-07-17,references/playwright-trace-viewer.png,Official asset
PW-05,Playwright,HTML report,https://playwright.dev/docs/intro,"Current docs; no per-page update date",2026-07-17,references/playwright-html-report.png,Official asset
CY-01,Cypress,Open Mode Launchpad,https://docs.cypress.io/app/core-concepts/open-mode,2026-07-04,2026-07-17,references/cypress-launchpad.png,Official asset
CY-02,Cypress,Specs explorer,https://docs.cypress.io/app/core-concepts/open-mode,2026-07-04,2026-07-17,references/cypress-spec-explorer.png,"Official asset visibly shows Cypress 10.2; supplementary only"
CY-03,Cypress,Run overview and Replay entry,https://docs.cypress.io/cloud/features/test-replay,2026-07-04,2026-07-17,references/cypress-run-overview-replay.jpg,Official asset
CY-04,Cypress,Test Replay command log,https://docs.cypress.io/cloud/features/test-replay,2026-07-04,2026-07-17,references/cypress-test-replay-command-log.png,Official asset
CY-05,Cypress,Test Replay scrubber,https://docs.cypress.io/cloud/features/test-replay,2026-07-04,2026-07-17,references/cypress-test-replay-scrubber.png,Official asset
CY-06,Cypress,Flaky runs view,https://docs.cypress.io/cloud/features/flaky-test-management,2026-07-04,2026-07-17,references/cypress-flaky-runs.png,Official asset
